ratunek	en:resource	A special thanks to Dom for being a resource in regards to weaponry and guns. 
Krgacie	en:sneaking	That done, he continued along the fence—still watching the metal lines to make sure nobody was sneaking up on him. 
upuszczać	en:drop	“Donal’s crew,” Wax said, holding up the drop of glass. 
lekcja	en:Lessie	Lessie asked. 
zestawienie	en:tally	There had been a time when she and Wax had kept a tally of who had saved the other most often. 
Grzepy	en:scowls	“You’ve got more dust on your face than Miles has scowls. 
cel	en:aim	Wax leveled his gun, taking aim as a figure ducked around the side of the building and ran toward him. 
Skrzypowany	en:ducked	He ducked inside, checking the corners for foes. 
prochowiec	en:duster	The woman wore a white duster, reddened at the bottom. 
skinął głową	en:nodded	Wax nodded to her, then dashed across the street toward the hotel. 
załoga	en:crew	“Donal’s crew,” Wax said, holding up the drop of glass. 
skinął głową	en:nodded	Wax nodded. 
przerywany	en:dashed	Wax nodded to her, then dashed across the street toward the hotel. 
przeklęty	en:cursed	He cursed, reflexively Pushing against the nails again, though his instincts told him he’d be too late. 
strzały	en:shots	He watched for more gunmen, but Lessie reached the building without any further shots being fired. 
kokarda	en:bow	“He had a bow,” she said. 
skradać się	en:creep	She was going to go out in that direction and creep along behind the next set of buildings. 
ostrożny	en:Wary	Wary, he too remained still. 
Wspinanie się	en:scrambling	He had cultivated a look that appeared out of place, as if he were planning to attend a fine ball back in Elendel rather than scrambling through a dead town in the Roughs hunting a murderer. 
szlifowanie	en:grinding	He grabbed the top of the fence and hopped over, feet grinding red clay. 
ensemble	en:ensemble	Completing the ensemble, he wore a bowler hat on his head to keep off the sun. 
migotliwy	en:twinkling	His clothing was terribly dusty, but well tailored: a fine suit, a silver cravat at the neck, twinkling cuff links on the sleeves of his fine white shirt. 
chwyciła	en:grabbed	He grabbed the top of the fence and hopped over, feet grinding red clay. 
ukryty	en:implied	Lessie thought it implied more than it did. 
wrogowie	en:foes	He ducked inside, checking the corners for foes. 
skurcz	en:twitch	The thought of it made his eye twitch, though. 
kucanie	en:Crouching	Crouching low, he ran in a squat over to the side of the old blacksmith’s forge. 
migotał	en:flickered	Her eyes flickered downward for a moment. 
lakoniczny	en:curt	Wax nodded, then made a curt gesture. 
złościć	en:riled	No, the only thing that riled Donal was losing money, which was probably why he was here. 
Dostosowane	en:tailored	His clothing was terribly dusty, but well tailored: a fine suit, a silver cravat at the neck, twinkling cuff links on the sleeves of his fine white shirt. 
skinął głową	en:nodded	Wax nodded, then made a curt gesture. 
niezawodny	en:foolproof	It was far from foolproof; he could still get hit. 
pompa	en:pump	Nails holding together buildings, spent shell casings lying scattered in the dust, or horseshoes piled at the silent smithy—all were as motionless as the old hand pump planted in the ground to his right. 
rozsiany	en:scattered	Nails holding together buildings, spent shell casings lying scattered in the dust, or horseshoes piled at the silent smithy—all were as motionless as the old hand pump planted in the ground to his right. 
zużyty	en:spent	Nails holding together buildings, spent shell casings lying scattered in the dust, or horseshoes piled at the silent smithy—all were as motionless as the old hand pump planted in the ground to his right. 
zwolniony	en:exempt	Somehow he even managed to exempt the metal he carried, and didn’t Push his own gun from his hands. 
